//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-15-2025
//--  Time: 20:38
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 4700 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 44864 Ohms 
//--    Temperature2: 0.0(C), 	Resistance 2: 5784 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 186.6 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
352	68.19	682 	1.719
353	68.00	680 	1.724
354	67.80	678 	1.729
355	67.61	676 	1.733
356	67.42	674 	1.738
357	67.22	672 	1.743
358	67.03	670 	1.748
359	66.84	668 	1.753
360	66.64	666 	1.758
361	66.45	665 	1.763
362	66.26	663 	1.768
363	66.07	661 	1.772
364	65.88	659 	1.777
365	65.69	657 	1.782
366	65.50	655 	1.787
367	65.31	653 	1.792
368	65.12	651 	1.797
369	64.93	649 	1.802
370	64.74	647 	1.807
371	64.55	646 	1.812
372	64.36	644 	1.816
373	64.17	642 	1.821
374	63.99	640 	1.826
375	63.80	638 	1.831
376	63.61	636 	1.836
377	63.43	634 	1.841
378	63.24	632 	1.846
379	63.05	631 	1.851
380	62.87	629 	1.855
381	62.68	627 	1.860
382	62.50	625 	1.865
383	62.31	623 	1.870
384	62.13	621 	1.875
385	61.94	619 	1.880
386	61.76	618 	1.885
387	61.58	616 	1.890
388	61.39	614 	1.895
389	61.21	612 	1.899
390	61.03	610 	1.904
391	60.85	608 	1.909
392	60.66	607 	1.914
393	60.48	605 	1.919
394	60.30	603 	1.924
395	60.12	601 	1.929
396	59.94	599 	1.934
397	59.76	598 	1.938
398	59.58	596 	1.943
399	59.40	594 	1.948
400	59.22	592 	1.953
401	59.04	590 	1.958
402	58.86	589 	1.963
403	58.68	587 	1.968
404	58.50	585 	1.973
405	58.32	583 	1.978
406	58.14	581 	1.982
407	57.97	580 	1.987
408	57.79	578 	1.992
409	57.61	576 	1.997
410	57.43	574 	2.002
411	57.26	573 	2.007
412	57.08	571 	2.012
413	56.90	569 	2.017
414	56.73	567 	2.021
415	56.55	566 	2.026
416	56.37	564 	2.031
417	56.20	562 	2.036
418	56.02	560 	2.041
419	55.85	558 	2.046
420	55.67	557 	2.051
421	55.50	555 	2.056
422	55.32	553 	2.061
423	55.15	552 	2.065
424	54.98	550 	2.070
425	54.80	548 	2.075
426	54.63	546 	2.080
427	54.46	545 	2.085
428	54.28	543 	2.090
429	54.11	541 	2.095
430	53.94	539 	2.100
431	53.76	538 	2.104
